"IP";"OS"
"10.117.97.1";""

"10.117.97.2";""

"10.117.97.3";"Linux 3.12 - 4.10|Linux 2.6.32 - 3.10|Linux 3.10|Linux 3.1|Linux 3.2|Linux 3.16|AXIS 210A or 211 Network Camera (Linux 2.6.17)|Linux 2.6.18|Dahua or Amcrest network video recorder (Linux)|Western Digital My Cloud DL4100 NAS (Linux 3.10)"

"10.117.97.4";"Linux 3.12 - 4.10|Linux 2.6.32 - 3.10|Linux 3.10|Linux 3.1|Linux 3.2|Linux 3.16|AXIS 210A or 211 Network Camera (Linux 2.6.17)|Linux 2.6.18|Western Digital My Cloud DL4100 NAS (Linux 3.10)|ASUS RT-N56U WAP (Linux 3.4)"

"10.117.97.5";"Linux 3.12 - 4.10|Linux 2.6.32 - 3.10|Linux 3.10|Linux 3.1|Linux 3.2|Linux 3.16|AXIS 210A or 211 Network Camera (Linux 2.6.17)|Linux 2.6.18|Dahua or Amcrest network video recorder (Linux)|Western Digital My Cloud DL4100 NAS (Linux 3.10)"

"10.117.97.6";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.7";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.8";"Linux 3.12 - 4.10|Linux 2.6.32 - 3.10|Linux 3.10|Linux 3.1|Linux 3.2|Linux 3.16|AXIS 210A or 211 Network Camera (Linux 2.6.17)|Linux 2.6.18|Philips Hue Bridge 2.0 (Linux)|Geovision EBD4700 CCTV camera (Linux 3.4)"

"10.117.97.9";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Enterasys Matrix N7 switch|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3812|Dell PowerConnect 3248 switch|SMC TigerStack III 6824M switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3870|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch"

"10.117.97.10";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Enterasys Matrix N7 switch|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3812|Dell PowerConnect 3248 switch|SMC TigerStack III 6824M switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3870|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch"

"10.117.97.11";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3870|Dell PowerConnect 3248 switch|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch|Enterasys Matrix N7 switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3812|SMC TigerStack III 6824M switch"

